CustomerID,Churn Probability
5575-GNVDE,0.05629180490863945
7795-CFOCW,0.03812508582769511
1452-KIOVK,0.21944693575440655
6713-OKOMC,0.3030095547266901
6388-TABGU,0.017600006260016964
9763-GRSKD,0.09830838153790653
7469-LKBCI,0.028575033008208475
8091-TTVAX,0.18674512078921518
5129-JLPIS,0.45532100489214
3655-SNQYZ,0.03927427695364784
8191-XWSZG,0.014571870659357255
9959-WOFKT,0.044156774566480594
1680-VDCWW,0.09849891311384627
3638-WEABW,0.024082510715139175
6322-HRPFA,0.010900904209910205
6865-JZNKO,0.14846302303150868
5248-YGIJN,0.01924377205289967
3841-NFECX,0.0331492937227665
6827-IEAUQ,0.06687468429352195
7310-EGVHZ,0.20977694988555065
3413-BMNZE,0.3940644571710696
6234-RAAPL,0.029574067039053718
6572-ADKRS,0.24522807117617262
8865-TNMNX,0.20095947135853037
9489-DEDVP,0.019991469175380805
9867-JCZSP,0.08386676065781577
4671-VJLCL,0.016128032919459016
4080-IIARD,0.4326678170536949
3714-NTNFO,0.41931512023633655
5948-UJZLF,0.33896883543367884
7639-LIAYI,0.029430067695525926
2954-PIBKO,0.012295476964863
8012-SOUDQ,0.5055271478718496
6575-SUVOI,0.2712821265863305
4667-QONEA,0.03540841549992607
8769-KKTPH,0.1650671374951154
5067-XJQFU,0.24053983870283777
3957-SQXML,0.023980303340419517
5954-BDFSG,0.06184175101787438
1215-FIGMP,0.27328382522083405
0526-SXDJP,0.009933209825211425
0557-ASKVU,0.16483589812139599
8627-ZYGSZ,0.2786558601331343
3410-YOQBQ,0.049798063849222834
3170-NMYVV,0.009649014786525995
7410-OIEDU,0.4725945662304909
2273-QCKXA,0.29365293078164256
0731-EBJQB,0.036766209961644404
1891-QRQSA,0.083224957972878
8028-PNXHQ,0.011241467042250198
5630-AHZIL,0.10197886173777715
2673-CXQEU,0.18931407968110572
6416-JNVRK,0.055110158139208394
5590-ZSKRV,0.0810154995504201
0191-ZHSKZ,0.28899480323656895
3887-PBQAO,0.045384125616181936
8108-UXRQN,0.2124606833306315
9919-YLNNG,0.3299405267761535
0318-ZOPWS,0.014830039257127845
4808-YNLEU,0.1247261261784624
1862-QRWPE,0.010825269978276804
2796-NNUFI,0.016788500702566555
3016-KSVCP,0.3089659174297393
4767-HZZHQ,0.11435663636681617
7233-PAHHL,0.028488418198590264
6067-NGCEU,0.22122403270232374
9848-JQJTX,0.07987874084585037
9803-FTJCG,0.021875539838314206
3212-KXOCR,0.006841862618660026
6380-ARCEH,0.20821508010985706
3679-XASPY,0.10255420603375284
7123-WQUHX,0.19063936447518184
5386-THSLQ,0.05695044833383607
6180-YBIQI,0.43272996533144664
6728-DKUCO,0.17584263028399613
9750-BOOHV,0.0816066497142128
8597-CWYHH,0.23625852559871846
